text,label
nifah wallahi sonki nake😍,0
allah ya karama dnkaka allah ya biyama bokatunka duniya da lahira ya allah🙏,0
san rai da kokarin daurewa marasa gaskiya gindi ne yasa twitter suka goge sakon shugaban kasa kuma wannan baze hana gwamnati bawa alummarta kulawa ba baba a goge mana su daga nigeria sannan acanza wa kasar suna👌,1
kace ba a nigeria kadai bane akwai en iska 😂😂😂,1
ramdashvir ne abin yadda kenn🤔🤔🤔 yan rainin hankali se wasa kuke da hankula mutane kun hana dunia sakat sbd wata cutamu musulmai ne mun yarda da kaddara🙄🙄🙄 koda cuta ko babu zamu mutu kuma hana sallah da kukai baze hana cuta ta kama wanda zata kama ba,1
to yan iskan banza kunki aure amma kuna karuwanci idan akamuku maganar aure sai kuce lokacine eh lokacine amma idan kukayi wasa lokaci zai iske ku amakara😨😨,1
amma kai dai dan bahaguwar bagidajiyar macene dan gatarar mace kawai dan makaryarciya kana kallon mu yan nigeria kamar an jika buri da ruwa duk yunwa da rashin kwanciyar hankali babu sai talauci kamar muyi hauka banda talauci maizasa afasa runbun gwamnati asaci abunci talauci😠,1
dan allah menene ribarku idan anzagi malamai burinku yacika ana zaginsu sai kuzuba ruwa akasa kusha🤷‍♂️,1
wanna abu yy kyau 😊😊,0
shegen kayaaa bah mutumina yaji kidan genaral a sama kenan🤣🤣🤣,1
duk wanda ya turawa rarara koh rariya neh ma sunan nashi kudi a kan a yiwa buhari waka kuma talaka na neman kudin abinci toh wlh ban yafe,1
yaji uwaur wuta kenan 😀😀😀,1
allah ya saka muku daga duniya sai lahira 👏👏👏,0
atai maka ai masa aure kawai 😭😭😭😭,0
tambayoyin da amsar gaskia sun qayatar dani 😅,0
😂 saboda ta kare masa shima,1
kawai tayi aure shine masalaha🙏,0
aibashine nakoraba kawai har kaema yakamata kakori kanka da sauran yan majalisar baki daya kai harma da gwamnoni baki daya sbd komi naku gudanae😭😭😭 allah kawomuna shuwagabanni adillae🙏🙏,0
huuuuhh 🤦🤦🤦 muba matsalar corona bace a gaban mu kashe kashen rayuka shine damuwar mu,1
anayi munajin dadiii😂😂😂😂😂,0
allah yasa muji alheri ranar alhamis din🙏🏿,0
allah kajin su kuma allah yamasu rahama sukuma azzaluman ya allah kasan su kuma kasan ko suwaye allah kasan yadda suke kashe muminanai adoron kasa allah gasunan kamasu suyyar kosai da azabar ka🙏🏻🙏🏻🙏🏻,0
😂 daga katsina sae kaduna kowa ya sheqe ayarsa,1
me tabayyana dan gutsun uwarta 😠😠,1
nabi bayanai da gudu 🏃🏃,1
wlh duk wanda yake da sa hanu a wannan batanci yayi gaggawar qarya ta kansa kafin uban giji ya damqe shi wlh ☝️,1
allah ya saka musu da alkhairi allah kuma ya teimaka amin 🤲 🤲,0
ko wannan labarin gaskiyane dubada yadda ganduje ya tsani almajirai 🤔,1
hmm ka gama da talawa wlh 🤛,1
kwarai kuwa bbc da gaske mukeyi 😝💪 🔥,0
gidan miji shine babban kyawon kowace mace a duniya👌,0
allah ya jikansa muna ta rashin manya jahara tamu haka dama rayuwa take muma allah yabamu iko wucewa lafy kmr sauran magaba ta amen😭😭😭😭😭,0
tab allah yasah lafiyah saboda lamarin buhari fah sai a hankali ba a ganaii masah🙄,0
allah sarki talakan nigeria 🇳🇬 ba abinda zamuce sai dai allah yayi mana sakayya albarkacin wannan wata na ramadan allah ubangiji ya kawo mana karshen wannan musifa💔😭😭😭 allah ya isa bazamu yafeba,0
lalle yau zaici uwarsa kenan😂😂,1
gyada mai sihiri a bara aga biyua murza aga hudua tauna aji gardi 😋,0
allah yace inkawa aluma adalci zama adalci allah ya bamu shuwagabani nagari🙏🙏🙏,0
allah ya kara tuna asirinsu😭😭,0
allah kara girma da daukaka amen🙏,0
yan wahala dubawa zaku baku gajiya da tambayar banza wlh🙄,1
natayasu murna sabida ke😘😘😍😍,0
bari kagani karyatani zai 😫😂,1
🤣🤣🤣 to dama talaka na hawa jirgin kasane wannan matsalar su ce ai domin kokaje sayen tikitinma sai kasamu ya kare,1
kay mu abun yayi yawa gashi govnati bata iya samarwa da muta ne kome 🙉 sede wahala👅😋😭😠,1
ubangiji allah ya bada nassara yaushe zaa nuna a jigawa 🤣🤣🤣,0
uhhhhmmm bbc da neman zance indai mutum yasan baida hannu ciki mai zai hadashi sasanci da dan taadda irinsu ne suke neman sasanci da barawo🛀🛌,1
yaro dakudi abokin tafiyar manya 🏦,0
kut yna ruwa kusa kada🐊,1
in sun ga dama a sa kare ko dan biri ma😡😠 abun da yake damun mutane daban abun da suke yi daban,1
baka da matsala da wannan toshi kam har sai kagode allah ☺️☺️❤️❤️,0
ameen sadau ina hoton sallar😅❓,0
khusufi mujadala hiyana filazal etc allah yajikanka allah yagafarta maka allah yasa karshen wahalar kenan dasauran musulmi 🤲🤲🤲,0
daidai kenan duk wanda ya zubar da girmansa kihau ki take dan banza👍,1
wlh yan nigeria mu farga mu zama tsintsiya madaurinki daya wlh a zaune take bazamu taba ci gaba ba indai a haka zany tafi da alamuran mu ana can maiduguri ana kashemu babu gaira babu dalili muma muna kashe kanmu👏 wlh ni dai ga muslim ko arne allah yaisa banyafeba duk wand😂,1
tunda kun bamu abinci ai dole ku kara dokar hana fita marasa daraja kawai 😀,1
dan rainin hankali ace yasauka lnjii🤨🤨,1
abin haushi abinda akai acan kuke gayamana a nan😡😡😡,1
raayinmu kenan a amshi shawararsa koda yake baizama lallai b wannan irin shugabancin sai addua😅,0
rashin nasara ce kawai ta jawo musu rashin nasara 😂,1
tabbas buhari baya san arewa musamman kano ma 🤔,1
allah ya kyauta an bar al umma cikin masifar talauchi da tashin hankali allah ya sakawa masu hakki ya kamata kamar yadda ake a sauran kasashen duniya da suka ci gaba shugabanni su dai na daukar dukiyar al umma da aka basu amana kamar tasu 😭😭😭😭,0
allah yasa mu dace da alkhairi 🙏🏻,0
wannan mutumin bayaji wlh 🤣🤣🤣,1
chab kina ruwa tsundum 🤣 🤣 🤣,1
tooo shi sakataren baida hoto neee 🤔 bbc baku da mutunci faaaa wani lokacin 🤷‍♂️,1
abba na kowa 💯,0
nan gaba ma zasu hana kiran a lasifika 😑,1
kaji rahama nan yar madrid ce 😁😁😁😁tohm barcelona mah suna ruwa 20 za aci su pha pogba 1 rashford 1,1
baba dodar 😂🤪🤪🤪 allah ya qara 🤪 anayi muna shan shayi 😂😂😂🤪🤪🤪🤪,0
allah yasa baba buhari ya shiga aljannah🥰,0
saboda duhun dare na cikin dadin tsire 😋,1
wanda hannun shi yake abin shaawa kowa yana so 😎,0
wai miysa kullum cikin karya kike😄,1
masu babban riga dai an ji kunya 😂,1
wannan shine mesa mutane a duhu ko lallai yana shan zagi wajan mutane 🤣🤣🤣,1
toh fa yayi daidai allah ya taimaka namu kalo🙄🙄,0
idan har kina son miji nagari👌sai kin hada da dabia tagariallah ka bamu abokan rayuwa nagari,0
dan allah ku dinga kawo labari me dadi dan allah 🙏🙏,0
allah yasa kisomu fiye da yanda muke sonki♥️,0
bayan mun mutu kenan 🤣,1
wannan gwamnati ta kyauta wlh 🙏,0
mudai allah muke ruka yakawo muna wannan karshen duk wannan matsetsulin in sha allah 🙏👍,0
kaga yarinya kaman busashen itace 😏,1
gaskiya gwamnati elrufai bata adalci wannan ya nuna cewa zaayi sonkai 🤔🤔🤔🤔🤔,1
alhmdllh har naji alamar murar ta kusa tafiya katan hudu kawai 😀😀zai warkar da wannan murar jinjina ga rahama💃🏼💃🏼💃🏼💃🏼💃🏼💃🏼,0
chab to yan kaduna akwai matsala babba idan har ya kamu to kun kamu 😂,1
😂😂😂😂😂😂 zancen banza mu wanne mukayi ko kuwa don ba turawa bane sukayi shiyasa zamuyi hassada,1
dama sukan muna tsammanin haka agaresu saboda yan uwansune amma ga abun haushi kam👇🏽 allah wadaran naka ya lalace,1
wai kanawa ina imanin ku yake ne ko kuwa har yanzu akwai maguzawa a garin😂,1
wannan ai ba komai bane a lanjeriya da dai talaka neh ya jefi wani ɗan siyasa aka kama shi daga baya wasu suxo su ƙwace shi to pah nanne xaka san akwai hukuma a lanjeriya👌,1
allah sarki yaa allah kabata lafiya kasa wannan cuta yaza meta alkhairi duniya da lahira 😭😭😭😭😭😭,0
